shrid2,connected_villages,num_connected_villages,num_connected_roads,road_index
11-24-482-03866-517014,"['11-24-482-03866-517039', '11-24-482-03866-517016', '11-24-482-03866-517017']",3,1,[1837]
11-24-482-03866-517016,"['11-24-482-03866-517039', '11-24-482-03866-517014', '11-24-482-03866-517017']",3,1,[1837]
11-24-482-03866-517040,['11-24-482-03866-517015'],1,1,[928]
11-24-482-03866-517045,['11-24-482-03866-517039'],1,1,[1828]
11-24-482-03866-517051,[],0,3,"[257, 740, 1838]"
11-24-482-03866-517056,[],0,1,[927]
11-24-482-03866-517060,[],0,1,[1839]
11-24-482-03867-517067,"['11-24-482-03867-517069', '11-24-482-03867-517066', '11-24-482-03867-517070']",3,5,"[924, 925, 1246, 1769, 1817]"
11-24-482-03867-517069,['11-24-482-03867-517067'],1,1,[1246]
11-24-482-03867-517072,['11-24-482-03867-517071'],1,4,"[923, 1829, 1830, 1831]"
11-24-482-03867-517081,"['11-24-482-03867-517084', '11-24-482-03867-802568']",2,1,[1815]
11-24-482-03867-517084,"['11-24-482-03867-517083', '11-24-482-03865-517001', '11-24-482-03867-517081', '11-24-482-03867-802568', '11-24-482-03867-517088']",5,3,"[1620, 1815, 1816]"
11-24-482-03867-517088,"['11-24-482-03867-517083', '11-24-482-03867-517084', '11-24-482-03865-517001']",3,2,"[1620, 1816]"
11-24-482-03867-517123,"['11-24-482-03867-517124', '11-24-482-03867-517121', '11-24-482-03867-517122']",3,2,"[1518, 1653]"
11-24-482-03867-517124,"['11-24-482-03867-517121', '11-24-482-03867-517123', '11-24-482-03867-517122']",3,1,[1518]
11-24-482-03868-517130,['11-24-482-03868-517133'],1,2,"[80, 1676]"
11-24-482-03868-517131,"['11-24-482-03868-517132', '11-24-482-03868-517133']",2,1,[1826]
11-24-482-03868-517148,"['11-24-482-03868-517158', '11-24-482-03868-517155']",2,1,[920]
11-24-482-03868-517150,"['11-24-482-03868-517145', '11-24-482-03868-517144']",2,1,[919]
11-24-482-03868-517151,[],0,1,[918]
11-24-483-03869-517203,[],0,3,"[366, 709, 1422]"
11-24-483-03869-517206,"['11-24-483-03869-517228', '11-24-483-03869-517217', '11-24-483-03869-517207', '11-24-483-03869-517216', '11-24-483-03869-517218', '11-24-483-03869-517195', '11-24-483-03869-517215']",7,6,"[800, 1406, 1678, 1882, 1957, 2355]"
11-24-483-03869-517230,['11-24-483-03869-517231'],1,1,[237]
11-24-483-03869-517231,['11-24-483-03869-517230'],1,2,"[237, 2360]"
11-24-483-03869-517241,"['11-24-483-03869-517237', '11-24-483-03869-517239', '11-24-483-03869-517238', '11-24-483-03869-517242']",4,1,[2296]
11-24-483-03869-517247,['11-24-483-03869-517246'],1,1,[149]
11-24-483-03870-517271,"['11-24-483-03870-517274', '11-24-483-03870-517272', '11-24-483-03870-517273']",3,2,"[4, 2193]"
11-24-483-03870-517277,"['11-24-483-03870-517278', '11-24-483-03870-517274']",2,3,"[1252, 1256, 2175]"
11-24-483-03870-517283,"['11-24-472-03772-511052', '11-24-472-03772-511087', '11-24-472-03772-511088']",3,1,[111]
11-24-483-03870-517317,"['11-24-484-03882-518220', '11-24-483-03870-517314', '11-24-483-03870-517315', '11-24-484-03882-518187', '11-24-483-03870-517318']",5,1,[2191]
11-24-483-03871-517346,"['11-24-483-03871-517345', '11-24-483-03871-517344', '11-24-483-03871-517353']",3,6,"[285, 373, 1414, 1416, 2172, 2173]"
11-24-483-03872-517391,"['11-24-483-03872-517390', '11-24-483-03872-517395']",2,2,"[801, 1940]"
11-24-483-03872-517392,[],0,1,[804]
11-24-483-03872-517395,"['11-24-483-03872-517416', '11-24-483-03872-517391', '11-24-483-03872-517390']",3,7,"[679, 801, 802, 1677, 1933, 1950, 1955]"
11-24-483-03872-517406,[],0,2,"[993, 1515]"
